Identifiant arc,Libelle,Date et heure de comptage,Debit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,Unnamed: 14
6717,Bd_Mortier,2023-12-05T08:00:00+01:00,72.0,2.22445,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T07:00:00+01:00,53.0,1.28611,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T06:00:00+01:00,67.0,1.50056,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T04:00:00+01:00,116.0,3.92389,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T02:00:00+01:00,169.0,5.43167,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6719,Bd_d'Indochine,2023-12-05T12:00:00+01:00,90.0,1.055,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T11:00:00+01:00,72.0,0.92445,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T10:00:00+01:00,106.0,3.14222,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T09:00:00+01:00,81.0,1.36611,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T08:00:00+01:00,53.0,0.48056,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T07:00:00+01:00,24.0,0.255,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T06:00:00+01:00,40.0,0.45722,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T05:00:00+01:00,17.0,0.08944,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T03:00:00+01:00,21.0,0.18889,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6719,Bd_d'Indochine,2023-12-05T02:00:00+01:00,26.0,0.39556,Fluide,798,Bd_Indochine-Av_Pte_Chaumont,3480,Bd_Indochine-Marchais,Invalide,40674.0,44927.0,48.8853682490313,2.39651386156779
6798,Bd_Malesherbes,2023-09-07T19:00:00+02:00,944.0,18.29278,Pr�-satur�,3525,Place_du_Nicaragua,2299,Place_Wagram,Invalide,41522.0,44927.0,48.8861706259789,2.30613212738856
6798,Bd_Malesherbes,2023-09-07T17:00:00+02:00,738.0,19.605,Pr�-satur�,3525,Place_du_Nicaragua,2299,Place_Wagram,Invalide,41522.0,44927.0,48.8861706259789,2.30613212738856
